Country,Real_GDP_per_Capita_USD,Total_Population,electricity_access_percent,electricity_generating_capacity_kW,roadways_km,mobile_cellular_subscriptions_total,broadband_fixed_subscriptions_total
NIGER,1200.0,25396840.0,18.0,324000.0,18949.0,14000000.0,12000.0
NIGERIA,4900.0,230842743.0,59.0,11691000.0,195000.0,195128265.0,65313.0
NIUE,11100.0,2000.0,,3000.0,234.0,,
NORTH MACEDONIA,16500.0,2133410.0,100.0,1928000.0,14182.0,1941352.0,475569.0
NORTHERN MARIANA ISLANDS,24500.0,51295.0,100.0,,536.0,20474.0,
NORWAY,67500.0,5597924.0,100.0,38360000.0,94902.0,5800000.0,2387661.0
OMAN,34300.0,3833465.0,100.0,8601000.0,60230.0,6115537.0,508949.0
PAKISTAN,5200.0,247653551.0,94.0,39925000.0,264175.0,188711452.0,2523027.0
PALAU,13800.0,21779.0,100.0,,125.0,24000.0,1224.0
PANAMA,29000.0,4404108.0,95.0,4106000.0,,6003255.0,562413.0
PAPUA NEW GUINEA,3700.0,9819350.0,20.0,1139000.0,9349.0,4800000.0,21000.0
PARAGUAY,13700.0,7439863.0,100.0,8831000.0,78811.0,7975074.0,562369.0
PERU,12500.0,32440172.0,95.0,15340000.0,18699.0,43129394.0,3044000.0
PHILIPPINES,8100.0,109035343.0,97.0,27885000.0,,163345244.0,7936574.0
POLAND,34900.0,37991766.0,100.0,47269000.0,420000.0,50588785.0,8369218.0
PORTUGAL,33700.0,10223150.0,100.0,22364000.0,82900.0,12476165.0,4160795.0
PUERTO RICO,32600.0,3057311.0,100.0,6180000.0,26862.0,3661176.0,671284.0
QATAR,92900.0,2532104.0,100.0,10633000.0,7039.0,3876499.0,296126.0
ROMANIA,30800.0,18326327.0,100.0,20528000.0,84185.0,22929000.0,5684782.0
RUSSIA,28000.0,141698923.0,100.0,255000000.0,1283387.0,250000000.0,33893305.0
RWANDA,2200.0,13400541.0,48.0,265000.0,4700.0,10902989.0,17685.0
"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",7800.0,7935.0,100.0,8000.0,198.0,4000.0,1000.0
SAINT KITTS AND NEVIS,26500.0,54817.0,100.0,71000.0,383.0,57000.0,30000.0
SAINT LUCIA,13000.0,167591.0,100.0,92000.0,1210.0,170000.0,33000.0
SAINT MARTIN,19300.0,32897.0,100.0,,,68840.0,
SAINT PIERRE AND MIQUELON,46200.0,5195.0,,26000.0,117.0,,
SAINT VINCENT AND THE GRENADINES,13700.0,100804.0,100.0,49000.0,,114892.0,24733.0
SAMOA,5500.0,207501.0,98.0,50000.0,1150.0,69000.0,1692.0
SAN MARINO,56400.0,34892.0,100.0,,292.0,40000.0,11000.0
SAO TOME AND PRINCIPE,4100.0,220372.0,78.0,28000.0,1300.0,189239.0,2512.0
SAUDI ARABIA,44300.0,35939806.0,100.0,76785000.0,221372.0,45427321.0,7890261.0
SENEGAL,2600.0,18384660.0,46.0,992000.0,44301.0,13795000.0,1000.0
SERBIA,19800.0,6693375.0,100.0,8986000.0,44248.0,8501519.0,1730496.0
